"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","cluster10177.cds.aln-cln","MIX{TPM3,JC+FO,K81+FO}+I+R2","I+R2",-5335.6897,-3774.6032,"TPM3{2.18122,12.1828}+FQ;JC;K3P{0.369265,0.0001}+FQ",10787.3795,10796.5292,11059.5923,"Mixture",807,26,0.460966542750929,"34.57%",418,28,0.6087,0.6756,0.1887,48.0937,2.0859,NA,"1.6939","0.4372","0.2581","0","0.0034","0.014","0.033","0.033","0.2402"
"One_class","cluster10177.cds.aln-cln","TPM3+I+R2","I+R2",-5353.0337,-3774.6032,"TPM3{1.5579,4.1632,1,1.5579,4.1632,1}+I{0.25,0.25,0.25,0.25}",10814.0675,10821.9664,11067.5069,"Mixture",807,26,0.460966542750929,"34.57%",418,28,0.6087,0.6015,0.167,48.0937,1.8406,NA,"1.6182","0.4161","0.2571","0","0.0034","0.0142","0.0346","0.0336","0.2572"
"Mixture","cluster10128.cds.aln-cln","MIX{TN+FO,JC+FO}+I","I",-3645.5009,-3162.4913,"TN{6.55936,24.6238}+FO{0.349604,0.141761,0.316813,0.191822};JC",7403.0019,7410.7683,7670.6138,"Mixture",879,26,0.699658703071672,"16.72%",238,32,0.6957,0.5413,0.1427,57.4891,1.3937,NA,"0.6251","0.1268","0.2028","0","0.0012","0.0057","0.0126","0.014","0.1263"
"One_class","cluster10128.cds.aln-cln","TN+F+I","I",-3651.8005,-3162.4913,"TN{1,3.6302,1,1,10.26,1}+F{0.3268,0.1658,0.3086,0.1988}",7413.601,7421.0859,7676.4342,"Mixture",879,26,0.699658703071672,"16.72%",238,32,0.6957,0.547,0.1461,57.4891,1.4128,NA,"0.6196","0.1262","0.2037","0","0.0012","0.0057","0.0128","0.014","0.1305"
"Mixture","cluster10153.cds.aln-cln","TNe+G4","G4",-3552.1381,-2628.4712,"TNe{1,2.9855,1,1,6.7342,1}+G4{0.25,0.25,0.25,0.25}",7208.2762,7214.8303,7457.6529,"One_class",894,26,0.738255033557047,"15.55%",198,32,0.6957,0.5918,0.1427,42.7083,1.3455,NA,"0.6134","0.164","0.2674","0","0.0011","0.0053","0.0125","0.0106","0.1546"
"One_class","cluster10153.cds.aln-cln","TNe+G4","G4",-3552.1326,-2628.4712,"TNe{1,2.9882,1,1,6.7233,1}+G4{0.25,0.25,0.25,0.25}",7208.2651,7214.8192,7457.6418,"One_class",894,26,0.738255033557047,"15.55%",198,32,0.6957,0.592,0.1428,44.0114,1.346,NA,"0.6132","0.164","0.2674","0","0.0011","0.0053","0.0125","0.0106","0.1547"
"Mixture","cluster10129.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-3761.3691,-2750.9884,"TN{3.40994,23.8932}+FO{0.345009,0.157865,0.338925,0.158201};JC",7634.7383,7643.3537,7896.9364,"Mixture",798,26,0.635338345864662,"20.43%",237,30,0.6522,0.326,0.0707,49.5984,0.7466,NA,"0.8267","0.1642","0.1986","0","0.0012","0.0075","0.0164","0.0155","0.1834"
"One_class","cluster10129.cds.aln-cln","TN+F+G4","G4",-3767.7694,-2750.9884,"TN{1,2.1586,1,1,8.6018,1}+F{0.3162,0.1965,0.3122,0.1752}",7645.5388,7653.8407,7903.0547,"Mixture",798,26,0.635338345864662,"20.43%",237,30,0.6522,0.3508,0.0805,49.8397,0.7911,NA,"0.8017","0.162","0.2021","0","0.0012","0.0076","0.0169","0.0144","0.1955"
"Mixture","cluster10053.cds.aln-cln","MIX{HKY+FO,JC+FO,K80+FO}+G","G4",-5603.1004,-3771.7832,"HKY{21.9811}+FO{0.0554844,0.2496,0.526075,0.168841};JC;K2P{4.34761}+FQ",11320.2008,11327.6805,11596.5371,"Mixture",942,26,0.545647558386412,"25.58%",334,30,0.6522,0.624,0.2313,43.9659,1.23,NA,"1.2822","0.3242","0.2528","0","0.0018","0.0108","0.0237","0.0231","0.1978"
"One_class","cluster10053.cds.aln-cln","TNe+G4","G4",-5643.1543,-3771.7832,"TNe{1,2.3841,1,1,3.2653,1}+G4{0.25,0.25,0.25,0.25}",11390.3087,11396.5089,11642.405,"Mixture",942,26,0.545647558386412,"25.58%",334,28,0.6087,0.5351,0.1981,56.3294,0.9248,NA,"1.1629","0.2864","0.2463","0","0.0013","0.0111","0.0262","0.0229","0.2313"
"Mixture","cluster10090.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-7544.2567,-5966.7533,"TNe{7.25839,11.2501}+FQ;JC",15194.5134,15199.3194,15466.2386,"Mixture",1245,26,0.506827309236948,"31.81%",528,22,0.4783,0.5003,0.1751,52.6593,1.4905,NA,"1.3836","0.4008","0.2897","0","0.0025","0.0116","0.0269","0.0193","0.3009"
"One_class","cluster10090.cds.aln-cln","TNe+G4","G4",-7560.063,-5966.7533,"TNe{1,2.8194,1,1,3.9306,1}+G4{0.25,0.25,0.25,0.25}",15224.126,15228.7501,15490.7243,"Mixture",1245,26,0.506827309236948,"31.81%",528,22,0.4783,0.4152,0.1419,47.3709,1.3886,NA,"1.3192","0.3867","0.2931","0","0.0027","0.0117","0.0282","0.0173","0.3274"
"Mixture","cluster10032.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-7345.3811,-5856.4226,"K2P{8.52621}+FQ;JC",14794.7622,14799.7914,15057.1879,"Mixture",1149,26,0.483028720626632,"27.15%",555,26,0.5652,0.499,0.1651,40.3485,1.4038,NA,"1.3574","0.2965","0.2184","0","0.0034","0.0105","0.0271","0.0263","0.2149"
"One_class","cluster10032.cds.aln-cln","K2P+G4","G4",-7363.7784,-5856.4226,"K2P{1,2.8181,1,1,2.8181,1}+G4{0.25,0.25,0.25,0.25}",14829.5567,14834.3917,15086.9357,"Mixture",1149,26,0.483028720626632,"27.15%",555,26,0.5652,0.5004,0.1613,40.3485,1.3794,NA,"1.3285","0.2956","0.2225","0","0.0034","0.0105","0.0277","0.0264","0.225"
"Mixture","cluster10031.cds.aln-cln","MIX{TN+FO,JC+FO,TNe+FO}+G","G4",-6700.9865,-5102.2135,"TN{3.35732,5.42121}+FO{0.276646,0.149647,0.348697,0.22501};JC;TNe{2.30908,45.3832}+FQ",13519.973,13526.5652,13816.9499,"Mixture",1134,26,0.511463844797178,"25.04%",457,18,0.3913,0.2724,0.0756,41.1947,0.3605,NA,"1.2353","0.269","0.2178","0","0.0024","0.0102","0.0245","0.0214","0.2589"
"One_class","cluster10031.cds.aln-cln","TN+F+G4","G4",-6719.1131,-5102.2135,"TN{1,2.3641,1,1,4.8773,1}+F{0.2717,0.192,0.312,0.2243}",13548.2262,13553.9405,13825.0691,"Mixture",1134,26,0.511463844797178,"25.04%",457,16,0.3478,0.2479,0.0624,40.05,0.2917,NA,"1.2001","0.2613","0.2177","0","0.0023","0.0102","0.0252","0.0215","0.2732"
"Mixture","cluster10141.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-6204.219,-5153.7342,"K2P{6.6053}+FQ;JC",12512.4379,12517.8846,12770.9159,"Mixture",1065,26,0.513615023474178,"26.29%",466,24,0.5217,0.2109,0.0469,31.749,0.3595,NA,"1.1152","0.1739","0.1559","0","0.001","0.0116","0.0224","0.0214","0.2285"
"One_class","cluster10141.cds.aln-cln","K2P+G4","G4",-6211.0892,-5153.7342,"K2P{1,3.6445,1,1,3.6445,1}+G4{0.25,0.25,0.25,0.25}",12524.1785,12529.4144,12777.6857,"Mixture",1065,26,0.513615023474178,"26.29%",466,26,0.5652,0.2046,0.0458,37.7359,0.3927,NA,"1.0995","0.1691","0.1538","0","0.0018","0.0117","0.0228","0.0214","0.2373"
"Mixture","cluster10191.cds.aln-cln","MIX{TN+FO,TIM2+FO,K80+FO}+I+R2","I+R2",-5903.3588,-4188.1053,"TN{100,32.1237}+FO{0.0351456,0.30809,0.444485,0.21228};TIM2{0.0260853,0.0001,2.56655}+FO{0.44387,0.142027,0.288529,0.125574};K2P{2.53664}+FQ",11938.7177,11946.714,12273.1608,"Mixture",1173,26,0.641091219096334,"21.91%",342,28,0.6087,0.374,0.1044,55.2901,0.4642,NA,"1.1408","0.2822","0.2474","0","0.0018","0.0105","0.023","0.0169","0.3028"
"One_class","cluster10191.cds.aln-cln","TN+F+I+R2","I+R2",-5958.9449,-4188.1053,"TN{1,2.1235,1,1,6.3386,1}+F{0.22,0.2363,0.3312,0.2125}",12031.8898,12037.8198,12320.727,"Mixture",1173,26,0.641091219096334,"21.91%",342,28,0.6087,0.3661,0.1004,55.2901,0.4505,NA,"1.1274","0.2785","0.247","0","0.0018","0.0106","0.0233","0.017","0.307"
"Mixture","cluster10189.cds.aln-cln","TN+FO+G4","G4",-6230.3366,-4926.9194,"TN{1,2.2361,1,1,3.8231,1}+FO{0.2335,0.2145,0.3085,0.2436}",12570.6731,12575.5465,12855.8694,"Mixture",1320,26,0.627272727272727,"20.23%",385,32,0.6957,0.4035,0.0923,44.5084,0.5479,NA,"0.8985","0.2118","0.2357","0","0.0013","0.0055","0.0184","0.0144","0.2781"
"One_class","cluster10189.cds.aln-cln","TN+F+G4","G4",-6231.4508,-4926.9194,"TN{1,2.3133,1,1,3.7516,1}+F{0.2201,0.2205,0.3155,0.2439}",12572.9016,12577.775,12858.0978,"Mixture",1320,26,0.627272727272727,"20.23%",385,32,0.6957,0.4033,0.0924,44.5084,0.5434,NA,"0.9019","0.213","0.2362","0","0.0013","0.0055","0.0183","0.0143","0.2772"
"Mixture","cluster10068.cds.aln-cln","MIX{TN+FO,JC+FO,F81+FO}+G","G4",-9633.1458,-7823.8295,"TN{5.8572,9.12985}+FO{0.292864,0.224389,0.193112,0.289634};JC;F81+FO{0.0537527,0.00559196,0.934536,0.00611958}",19386.2917,19389.7203,19727.9553,"Mixture",2196,26,0.655737704918033,"18.44%",496,20,0.4348,0.4225,0.1084,34.9857,1.0864,NA,"0.7041","0.1435","0.2038","0","9e-04","0.0074","0.0135","0.0125","0.1453"
"One_class","cluster10068.cds.aln-cln","TN+F+G4","G4",-9656.84,-7823.8295,"TN{1,3.6405,1,1,7.1031,1}+F{0.2622,0.2075,0.282,0.2484}",19423.68,19426.5585,19736.8716,"Mixture",2196,26,0.655737704918033,"18.44%",496,22,0.4783,0.4663,0.1242,36.9324,1.2312,NA,"0.6624","0.1327","0.2003","0","9e-04","0.0078","0.0144","0.0132","0.1607"
"Mixture","cluster10205.cds.aln-cln","MIX{TN+FO,K80+FO}+G","G4",-1863.5741,-1680.2141,"TN{0.175438,0.712541}+FO{0.362972,0.153358,0.395783,0.0878872};K2P{15.4323}+FQ",3841.1481,3859.7212,4070.6225,"Mixture",414,26,0.628019323671498,"19.32%",164,30,0.6522,0.5272,0.1253,49.97,0.7026,NA,"0.7884","0.2136","0.2709","0","0.002","0.0061","0.0152","0.0156","0.1573"
"One_class","cluster10205.cds.aln-cln","TN+F+G4","G4",-1877.9888,-1680.2141,"TN{1,2.303,1,1,5.7466,1}+F{0.3193,0.1945,0.316,0.1701}",3865.9775,3883.1842,4087.4002,"Mixture",414,26,0.628019323671498,"19.32%",164,32,0.6957,0.5426,0.1326,49.8799,0.8247,NA,"0.7466","0.1958","0.2623","0","0.0024","0.0063","0.0161","0.017","0.1739"
"Mixture","cluster10215.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-3813.9521,-2685.9766,"TNe{4.14399,7.38619}+FQ;JC",7733.9042,7743.4922,7971.2652,"Mixture",651,26,0.525345622119816,"26.88%",287,26,0.5652,0.3792,0.1333,48.2079,0.722,NA,"1.2213","0.2131","0.1745","0","0.0015","0.0108","0.0243","0.0215","0.2594"
"One_class","cluster10215.cds.aln-cln","TNe+G4","G4",-3818.8614,-2685.9766,"TNe{1,2.5224,1,1,3.9106,1}+G4{0.25,0.25,0.25,0.25}",7741.7227,7750.9401,7974.6052,"Mixture",651,26,0.525345622119816,"26.88%",287,24,0.5217,0.3695,0.1256,49.0816,0.6432,NA,"1.1889","0.2036","0.1713","0","0.0015","0.0109","0.0249","0.0211","0.2688"
"Mixture","cluster10379.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-5204.1708,-4392.7213,"K2P{6.752}+FQ;JC",10512.3417,10518.9192,10761.5436,"Mixture",891,26,0.511784511784512,"25.25%",420,32,0.6957,0.364,0.123,45.0333,0.6359,NA,"1.1323","0.193","0.1704","0","0.0015","0.0114","0.0227","0.0219","0.2275"
"One_class","cluster10379.cds.aln-cln","K2P+G4","G4",-5209.7797,-4392.7213,"K2P{1,3.3626,1,1,3.3626,1}+G4{0.25,0.25,0.25,0.25}",10521.5594,10527.8812,10765.969,"Mixture",891,26,0.511784511784512,"25.25%",420,30,0.6522,0.3663,0.1193,44.6766,0.6328,NA,"1.1129","0.1925","0.173","0","0.0012","0.0114","0.0231","0.022","0.2335"
"Mixture","cluster10360.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-5249.9899,-4186.4704,"K2P{11.389}+FQ;JC",10603.9798,10609.6799,10860.2128,"Mixture",1020,26,0.602941176470588,"23.33%",348,22,0.4783,0.2782,0.0637,38.3797,0.3443,NA,"0.9812","0.2107","0.2147","0","0.001","0.008","0.0194","0.0162","0.1881"
"One_class","cluster10360.cds.aln-cln","K2P+G4","G4",-5261.3973,-4186.4704,"K2P{1,3.5521,1,1,3.5521,1}+G4{0.25,0.25,0.25,0.25}",10624.7945,10630.2738,10876.1,"Mixture",1020,26,0.602941176470588,"23.33%",348,22,0.4783,0.2735,0.0663,42.7083,0.3861,NA,"0.9508","0.2055","0.2161","0","0.001","0.0081","0.02","0.0162","0.2025"
"Mixture","cluster10276.cds.aln-cln","MIX{HKY+FO,JC+FO,TNe+FO}+R2","R2",-3155.3598,-2473.6709,"HKY{5.57021}+FO{0.289645,0.103533,0.286712,0.320111};JC;TNe{15.6404,100}+FQ",6428.7195,6436.9713,6713.2292,"Mixture",918,26,0.779956427015251,"10.46%",159,30,0.6522,0.6623,0.1735,46.0543,1.7996,NA,"0.4727","0.1029","0.2177","0","0.001","0.0044","0.0091","0.0091","0.0995"
"One_class","cluster10276.cds.aln-cln","TN+F+R2","R2",-3167.0569,-2473.6709,"TN{1,4.0549,1,1,6.9281,1}+F{0.2632,0.1814,0.2764,0.279}",6446.1138,6453.5284,6716.1569,"Mixture",918,26,0.779956427015251,"10.46%",159,28,0.6087,0.6914,0.1857,47.1169,1.8871,NA,"0.4448","0.0994","0.2235","0","0.001","0.0045","0.0096","0.0093","0.1119"
"Mixture","cluster10307.cds.aln-cln","TN+FO+G4","G4",-1903.2755,-1456.1128,"TN{1,1.4716,1,1,5.6961,1}+FO{0.245,0.2465,0.3447,0.1639}",3916.5509,3932.6766,4141.073,"Mixture",438,26,0.719178082191781,"17.35%",127,34,0.7391,0.6403,0.1693,55.1815,0.8816,NA,"0.801","0.2368","0.2956","0","0.0024","0.0074","0.0163","0.0173","0.1347"
"One_class","cluster10307.cds.aln-cln","TN+F+G4","G4",-1904.1734,-1456.1128,"TN{1,1.505,1,1,5.2699,1}+F{0.2496,0.2435,0.3261,0.1808}",3918.3469,3934.4725,4142.8689,"Mixture",438,26,0.719178082191781,"17.35%",127,34,0.7391,0.6411,0.17,52.8488,0.8889,NA,"0.7978","0.2343","0.2937","0","0.0024","0.0072","0.0163","0.017","0.1363"
"Mixture","cluster10384.cds.aln-cln","MIX{TIM2e,JC+FO,HKY+FO}+G","G4",-7061.4467,-5472.1897,"TIM2e{0.515269,7.9223,9.51702}+FQ;JC;HKY{16.0108}+FO{9.99887e-05,0.195343,0.786466,0.0180912}",14240.8933,14246.4333,14547.6303,"Mixture",1338,26,0.598654708520179,"21.82%",455,24,0.5217,0.2022,0.0416,46.3897,0.4968,NA,"0.9894","0.1685","0.1703","0","0.0014","0.0109","0.0196","0.0173","0.1895"
"One_class","cluster10384.cds.aln-cln","TIM2e+G4","G4",-7093.6687,-5472.1897,"TIM2e{0.68,2.6738,0.68,1,3.7479,1}+G4{0.25,0.25,0.25,0.25}",14293.3375,14297.7954,14568.8809,"Mixture",1338,26,0.598654708520179,"21.82%",455,24,0.5217,0.2155,0.0508,44.4972,0.5753,NA,"0.9623","0.167","0.1735","0","0.0013","0.0114","0.0202","0.0164","0.2042"
"Mixture","cluster10447.cds.aln-cln","TNe+I+R2","I+R2",-2316.3721,-2062.7647,"TNe{1,1.9105,1,1,6.1365,1}+I{0.25,0.25,0.25,0.25}",4740.7442,4752.3458,4975.1236,"One_class",567,26,0.656084656084656,"14.81%",180,26,0.5652,0.5549,0.1702,45.3431,1.5654,NA,"1.1981","0.3699","0.3087","0","0.0019","0.0064","0.0244","0.0178","0.3412"
"One_class","cluster10447.cds.aln-cln","TNe+I+R2","I+R2",-2316.3705,-2062.7647,"TNe{1,1.9086,1,1,6.1334,1}+I{0.25,0.25,0.25,0.25}",4740.741,4752.3426,4975.1204,"One_class",567,26,0.656084656084656,"14.81%",180,26,0.5652,0.5551,0.1703,45.3431,1.5651,NA,"1.1978","0.3697","0.3086","0","0.0019","0.0064","0.0245","0.0178","0.3411"
"Mixture","cluster10264.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-7807.0814,-6800.443,"TN{6.62564,16.1183}+FO{0.306502,0.187818,0.284041,0.221639};JC",15726.1629,15730.2949,16027.3873,"Mixture",1602,26,0.617353308364544,"20.41%",501,26,0.5652,0.2835,0.0648,28.9137,0.8267,NA,"0.8562","0.1386","0.1619","0","7e-04","0.009","0.0171","0.0147","0.1863"
"One_class","cluster10264.cds.aln-cln","TN+F+G4","G4",-7819.3938,-6800.443,"TN{1,2.9814,1,1,4.9673,1}+F{0.2843,0.2179,0.2757,0.2221}",15748.7876,15752.772,16044.633,"Mixture",1602,26,0.617353308364544,"20.41%",501,26,0.5652,0.3003,0.0714,41.1339,0.8726,NA,"0.8369","0.1375","0.1643","0","7e-04","0.0091","0.0175","0.0146","0.1958"
"Mixture","cluster10221.cds.aln-cln","MIX{TNe,JC+FO,F81+FO}+I+G","I+G4",-8942.5748,-6663.0422,"TNe{7.16583,11.7564}+FQ;JC;F81+FO{0.0197045,0.00957853,0.950167,0.0205503}",18001.1496,18005.6731,18312.0357,"Mixture",1572,26,0.564885496183206,"26.59%",543,20,0.4348,0.3316,0.1001,49.9199,0.7715,NA,"1.2636","0.2716","0.2149","0","0.0016","0.0123","0.0236","0.0161","0.2603"
"One_class","cluster10221.cds.aln-cln","TNe+G4","G4",-8993.5574,-6663.0422,"TNe{1,3.4552,1,1,4.9942,1}+G4{0.25,0.25,0.25,0.25}",18091.1148,18094.7435,18369.8402,"Mixture",1572,26,0.564885496183206,"26.59%",543,20,0.4348,0.2495,0.0579,49.1223,0.3951,NA,"1.1555","0.2493","0.2158","0","0.0018","0.0134","0.0258","0.0162","0.3045"
"Mixture","cluster10440.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-3312.6783,-3734.2057,"TNe{7.44835,14.028}+FQ;JC",6731.3566,6739.1127,6979.1083,"Mixture",792,26,0.678030303030303,"15.66%",276,24,0.5217,0.538,0.1485,43.0929,1.4251,NA,"0.6748","0.1233","0.1827","0","0.0013","0.0078","0.0136","0.0137","0.1197"
"One_class","cluster10440.cds.aln-cln","TNe+G4","G4",-3318.8379,-3734.2057,"TNe{1,3.3342,1,1,5.6335,1}+G4{0.25,0.25,0.25,0.25}",6741.6757,6749.1345,6984.7529,"Mixture",792,26,0.678030303030303,"15.66%",276,24,0.5217,0.5486,0.152,43.0929,1.4405,NA,"0.6667","0.1231","0.1846","0","0.0013","0.0076","0.0138","0.0138","0.1229"
"Mixture","cluster10190.cds.aln-cln","MIX{HKY+FO,JC+FO,K80+FO}+G","G4",-12756.6395,-10948.6216,"HKY{20.4341}+FO{0.047302,0.204219,0.442767,0.305711};JC;K2P{7.3593}+FQ",25627.279,25630.2347,25954.3728,"Mixture",2295,26,0.578649237472767,"26.23%",796,26,0.5652,0.3514,0.1125,39.1024,0.7148,NA,"1.2072","0.2691","0.2229","0","0.001","0.0113","0.0235","0.0191","0.2579"
"One_class","cluster10190.cds.aln-cln","HKY+F+G4","G4",-12803.3482,-10948.6216,"HKY{1,3.2393,1,1,3.2393,1}+F{0.2071,0.2439,0.2851,0.2639}",25714.6964,25717.3481,26024.5747,"Mixture",2295,26,0.578649237472767,"26.23%",796,28,0.6087,0.3056,0.0901,42.2374,0.5439,NA,"1.1513","0.2585","0.2245","0","0.001","0.0112","0.0246","0.0192","0.2866"
"Mixture","cluster10285.cds.aln-cln","MIX{TIM+FO,F81+FO,K80+FO,JC+FO}+I+R2","I+R2",-5179.7242,-3562.5008,"TIM{2.66804,0.229716,3.64043}+FO{0.0710162,0.227673,0.592814,0.108496};F81+FO{0.667739,0.263245,0.0415827,0.0274327};K2P{12.1984}+FQ;JC",10489.4484,10500.6641,10796.4193,"Mixture",831,26,0.529482551143201,"31.29%",350,24,0.5217,0.887,0.3055,42.9884,3.2759,NA,"1.9031","0.4907","0.2578","0","0.0013","0.0113","0.0327","0.0248","0.3091"
"One_class","cluster10285.cds.aln-cln","TIM+F+I+R2","I+R2",-5217.7176,-3562.5008,"TIM{1,1.8299,0.6331,0.6331,3.1829,1}+F{0.2269,0.2384,0.3411,0.1936}",10551.4352,10560.3005,10825.3477,"Mixture",831,26,0.529482551143201,"31.29%",350,24,0.5217,0.5928,0.1888,38.1707,2.1617,NA,"1.6046","0.4596","0.2864","0","0.0016","0.0114","0.0388","0.0258","0.3962"
"Mixture","cluster10457.cds.aln-cln","MIX{TNe,JC+FO}+I+R2","I+R2",-6370.1863,-4599.2124,"TNe{6.06743,13.7915}+FQ;JC",12850.3727,12856.0241,13127.7945,"Mixture",1146,26,0.584642233856894,"23.82%",418,26,0.5652,0.3952,0.0983,44.5084,0.7211,NA,"1.2959","0.3459","0.2669","0","0.0026","0.0113","0.0255","0.0269","0.1786"
"One_class","cluster10457.cds.aln-cln","TNe+I+R2","I+R2",-6386.7539,-4599.2124,"TNe{1,2.6236,1,1,4.9749,1}+I{0.25,0.25,0.25,0.25}",12881.5078,12886.9523,13153.8856,"Mixture",1146,26,0.584642233856894,"23.82%",418,26,0.5652,0.3937,0.0952,44.5084,0.6475,NA,"1.2481","0.3344","0.2679","0","0.0026","0.0114","0.0264","0.0275","0.1896"
"Mixture","cluster10388.cds.aln-cln","MIX{TN+FO,JC+FO,F81+FO}+I+R2","I+R2",-6548.7202,-5668.6467,"TN{10.6724,15.5894}+FO{0.243934,0.221085,0.235754,0.299228};JC;F81+FO{0.0907039,0.0667872,0.728154,0.114355}",13221.4404,13228.0328,13539.4568,"Mixture",1248,26,0.578525641025641,"22.76%",479,22,0.4783,0.4133,0.1154,41.3763,0.4511,NA,"1.2268","0.228","0.1858","0","0.002","0.0104","0.022","0.0219","0.2445"
"One_class","cluster10388.cds.aln-cln","TN+F+I+R2","I+R2",-6586.8419,-5668.6467,"TN{1,2.7549,1,1,4.9867,1}+F{0.2239,0.2027,0.3189,0.2544}",13287.6839,13293.2402,13580.0538,"Mixture",1248,26,0.578525641025641,"22.76%",479,22,0.4783,0.3182,0.0766,33.5857,0.2855,NA,"1.0757","0.2072","0.1926","0","0.0017","0.0106","0.025","0.0238","0.302"
